val,target
2106, 0
2104, 0
2102, 0
2099, 0
2102, 0
2106, 0
2108, 0
2110, 0
2109, 0
2107, 0
2106, 0
2104, 0
2101, 0
2100, 0
2103, 0
2106, 0
2109, 0
2110, 0
2109, 0
2105, 0
2103, 0
2102, 0
2101, 0
2101, 0
2102, 0
2104, 0
2108, 0
2109, 0
2111, 0
2107, 0
2106, 0
2103, 0
2101, 0
2100, 0
2100, 0
2105, 0
2107, 0
2108, 0
2111, 0
2108, 0
2105, 0
2101, 0
2102, 0
2097, 0
2101, 0
2102, 0
2105, 0
2109, 0
2110, 0
2107, 0
2106, 0
2102, 0
2101, 0
2099, 0
2099, 0
2101, 0
2106, 0
2108, 0
2108, 0
2108, 0
2107, 0
2104, 0
2102, 0
2102, 0
2102, 0
2104, 0
2107, 0
2113, 0
2114, 0
2114, 0
2117, 0
2118, 0
2118, 0
2116, 0
2118, 0
2122, 1
2123, 1
2126, 1
2130, 1
2130, 1
2127, 1
2127, 1
2126, 1
2123, 1
2125, 1
2127, 1
2125, 1
2121, 1
2119, 1
2105, 1
2099, 1
2052, 1
2041, 1
2088, 1
2096, 1
2103, 1
2246, 1
2258, 1
2268, 1
2265, 1
2270, 1
2269, 1
2253, 1
2245, 1
2240, 1
2256, 0
2243, 0
2248, 0
2225, 0
2239, 0
2230, 0
2231, 0
2242, 0
2218, 0
2232, 0
2207, 0
2204, 0
2129, 0
2196, 0
2172, 0
2164, 0
2270, 0
2239, 0
2229, 0
2232, 0
2209, 0
2194, 0
2208, 0
2223, 0
2204, 0
2232, 0
2222, 0
2184, 0
2217, 0
2225, 0
2219, 0
2221, 0
2227, 0
2219, 0
2219, 0
2198, 0
2217, 0
2227, 0
2212, 0
2185, 0
2226, 0
2224, 0
2217, 0
2209, 0
2218, 0
2239, 0
2203, 0
2205, 0
2207, 0
2221, 0
2209, 0
2214, 0
2203, 0
2215, 0
2212, 0
2226, 0
2212, 0
2206, 0
2211, 0
2226, 0
2218, 0
2200, 0
2228, 0
2206, 0
2221, 0
2227, 0
2204, 0
2191, 0
2216, 0
2224, 0
2194, 0
2223, 0
2231, 0
2229, 0
2201, 0
2224, 0
2221, 0
2203, 0
2213, 0
2202, 0
2213, 0
2215, 0
2191, 0
2228, 0
2212, 0
2219, 0
2203, 0
2215, 0
2249, 0
2222, 0
2221, 0
2235, 0
2202, 0
2237, 0
2208, 0
2223, 0
2247, 0
2205, 0
2201, 0
2221, 0
2225, 0
2207, 0
2215, 0
2206, 0
2214, 0
2219, 0
2210, 0
2207, 0
2218, 0
2185, 0
2194, 0
2219, 0
2196, 0
2189, 0
2209, 0
2224, 0
2198, 0
2213, 0
2218, 0
2211, 0
2198, 0
2211, 0
2189, 0
2222, 0
2204, 0
2215, 0
2218, 0
2216, 0
2199, 0
2207, 0
2217, 0
2211, 0
2206, 0
2229, 0
2210, 0
2227, 0
2225, 0
2210, 0
2222, 0
2221, 0
2205, 0
2219, 0
2236, 0
2208, 0
2226, 0
2205, 0
2242, 0
2207, 0
2237, 0
2209, 0
2218, 0
2217, 0
2247, 0
2231, 0
2226, 0
2220, 0
2227, 0
2228, 0
2233, 0
2220, 0
2209, 0
2237, 0
2202, 0
2238, 0
2231, 0
2231, 0
2252, 2
2070, 2
2116, 2
2108, 2
2113, 2
2111, 2
2116, 2
2116, 2
2118, 2
2117, 2
2111, 2
2107, 2
2104, 2
2104, 2
2100, 2
2099, 2
2100, 2
2103, 2
2105, 2
2109, 2
2111, 2
2108, 2
2104, 2
2101, 2
2100, 2
2099, 2
2103, 2
2106, 2
2108, 2
2111, 2
2110, 0
2109, 0
2107, 0
2106, 0
2101, 0
2104, 0
2104, 0
2108, 0
2110, 0
2112, 0
2111, 0
2111, 0
2108, 0
2105, 0
2101, 0
2103, 0
2102, 0
2107, 0
2109, 0
2112, 0
2113, 0
2107, 0
2108, 0
2103, 0
2101, 0
2102, 0
2103, 0
2106, 0
2111, 0
2113, 0
2112, 0
2112, 0
2107, 0
2106, 0
2102, 0
2103, 0
2106, 0
2109, 0
2111, 0
2111, 0
2113, 0
2109, 0
2110, 0
2106, 0
2103, 0
2104, 0
2104, 0
2107, 0
2109, 0
2113, 0
2114, 0
2112, 0
2108, 0
2106, 0
2103, 0
2103, 0
2105, 0
2107, 0
2108, 0
2114, 0
2113, 0
2111, 0
2110, 0
2106, 0
2103, 0
2102, 0
2105, 0
2107, 0
2109, 0
2111, 0
2112, 0
2112, 0
2108, 0
2107, 0
2103, 0
2103, 0
2104, 0
2105, 0
2108, 0
2112, 0
2113, 0
2110, 0
2108, 0
2106, 0
2102, 0
2102, 0
2103, 0
2106, 0
2109, 0
2111, 0
2111, 0
2111, 0
2109, 0
2104, 0
2101, 0
